Algorithm,Total_Delay_D,Effective_Delay,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Resource_Factor,Replicate,Replicate_Seed
our,0.7920457207077666,6.842975671541545,2.135282942861461,0.7616790540410999,0.030366666666666667,0.9631793407407407,1843825.4683917097,-1843827.2933373705,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,6,48
ffd-m,2.822643169865731,21.385884088873734,2.7112484828512766,2.784176503199064,0.03846666666666667,0.7588009185185185,5963392.81658919,-5963404.218556556,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,6,48
cds-m,2.822643169865731,21.385884088873734,2.7112484828512766,2.784176503199064,0.03846666666666667,0.7588009185185185,5963392.81658919,-5963404.218556556,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,6,48
random-m,2.822643169865731,21.385884088873734,2.7112484828512766,2.784176503199064,0.03846666666666667,0.7588009185185185,5963392.81658919,-5963404.218556556,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,6,48
greedy-m,2.822643169865731,21.385884088873734,2.7112484828512766,2.784176503199064,0.03846666666666667,0.7588009185185185,5963392.81658919,-5963404.218556556,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,6,48
lego,2.822643169865731,21.385884088873734,2.7112484828512766,2.784176503199064,0.03846666666666667,0.7588009185185185,5963392.81658919,-5963404.218556556,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,6,48
drs,2.822643169865731,21.385884088873734,2.7112484828512766,2.784176503199064,0.03846666666666667,0.7588009185185185,5963392.81658919,-5963404.218556556,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,6,48
our,0.2772113796011035,1.110514625026881,1.8194600658458748,0.25430962521513856,0.022901754385964913,0.875874725925926,389488.44582437904,-389488.0124212112,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,7,49
ffd-m,2.4183877835970944,14.361913176745542,2.425287423714023,2.3805877835970946,0.03779999999999999,0.7588009185185185,4931574.617234202,-4931584.283885696,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,7,49
cds-m,2.4183877835970944,14.361913176745542,2.425287423714023,2.3805877835970946,0.03779999999999999,0.7588009185185185,4931574.617234202,-4931584.283885696,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,7,49
random-m,2.4183877835970944,14.361913176745542,2.425287423714023,2.3805877835970946,0.03779999999999999,0.7588009185185185,4931574.617234202,-4931584.283885696,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,7,49
greedy-m,2.4183877835970944,14.361913176745542,2.425287423714023,2.3805877835970946,0.03779999999999999,0.7588009185185185,4931574.617234202,-4931584.283885696,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,7,49
lego,2.4183877835970944,14.361913176745542,2.425287423714023,2.3805877835970946,0.03779999999999999,0.7588009185185185,4931574.617234202,-4931584.283885696,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,7,49
drs,2.4183877835970944,14.361913176745542,2.425287423714023,2.3805877835970946,0.03779999999999999,0.7588009185185185,4931574.617234202,-4931584.283885696,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,7,49
our,1.6195407190913207,22.756889597484207,2.3449745284504497,1.584772770373372,0.03476794871794872,0.9896598740740741,4485436.025672183,-4485441.77840125,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,8,50
ffd-m,2.21628233655041,29.921299616763744,2.7178705194803214,2.1887490032170764,0.027533333333333337,0.7523473111111111,5397773.644625903,-5397782.008167067,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,8,50
cds-m,2.2179372917247333,29.922954571938064,2.7178705194803214,2.1888706250580667,0.029066666666666668,0.7528489111111111,5397773.644625903,-5397782.016441843,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,8,50
random-m,2.2179789583914,29.922996238604732,2.7178705194803214,2.1888706250580667,0.029108333333333333,0.7528489111111111,5397773.644625903,-5397782.016650176,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,8,50
